Cancer	Gene	cnv	N.cells.with.cnv
CRC	EIF4E	Loss	10215
CRC	DNAJB14	Gain	2551
CRC	DNAJB14	Loss	10215
CRC	PPP3CA	Gain	2551
CRC	PPP3CA	Loss	10215
CRC	NFKB1	Gain	2551
CRC	NFKB1	Loss	10215
CRC	MANBA	Gain	2551
CRC	MANBA	Loss	10215
CRC	UBE2D3	Gain	2551
CRC	UBE2D3	Loss	10215
CRC	AC004053.1	Gain	522
CRC	AC004053.1	Loss	1078
CRC	TET2	Gain	2567
CRC	TET2	Loss	10215
CRC	PPA2	Gain	2567
CRC	PPA2	Loss	10033
CRC	ARHGEF38	Gain	2551
CRC	ARHGEF38	Loss	10033
CRC	INTS12	Gain	2551
CRC	INTS12	Loss	8573
CRC	GSTCD	Gain	2567
CRC	GSTCD	Loss	8573
CRC	NPNT	Gain	2551
CRC	NPNT	Loss	8304
CRC	TBCK	Gain	2567
CRC	TBCK	Loss	8420
CRC	AIMP1	Gain	2567
CRC	AIMP1	Loss	6882
CRC	PAPSS1	Gain	2567
CRC	PAPSS1	Loss	6719
CRC	RPL34	Gain	2567
CRC	RPL34	Loss	5274
CRC	SEC24B	Gain	2567
CRC	SEC24B	Loss	4271
CRC	PLA2G12A	Gain	2551
CRC	PLA2G12A	Loss	4271
CRC	FAM241A	Gain	538
CRC	FAM241A	Loss	1400
CRC	AP1AR	Gain	2567
CRC	AP1AR	Loss	1116
CRC	ALPK1	Gain	538
CRC	ALPK1	Loss	1116
CRC	LARP7	Gain	2567
CRC	LARP7	Loss	1116
CRC	ANK2	Gain	16
CRC	ANK2	Loss	209
CRC	CAMK2D	Gain	2567
CRC	CAMK2D	Loss	1116
CRC	SNHG8	Gain	2567
CRC	SNHG8	Loss	1116
CRC	METTL14	Gain	2567
CRC	METTL14	Loss	1116
CRC	SEC24D	Gain	2567
CRC	SEC24D	Loss	907
CRC	SYNPO2	Gain	16
CRC	USP53	Gain	2567
CRC	USP53	Loss	907
CRC	PDE5A	Gain	2995
CRC	PDE5A	Loss	907
CRC	KIAA1109	Gain	4130
CRC	KIAA1109	Loss	907
CRC	SPATA5	Gain	4130
CRC	SPATA5	Loss	907
CRC	ANKRD50	Gain	4114
CRC	INTU	Gain	4114
CRC	MFSD8	Gain	4130
CRC	ABHD18	Gain	4130
CRC	LARP1B	Gain	4130
CRC	PGRMC2	Gain	3771
CRC	LINC02615	Gain	4114
CRC	JADE1	Gain	1758
CRC	SCLT1	Gain	4130
CRC	AC109927.1	Gain	616
CRC	ELF2	Gain	4130
CRC	NAA15	Gain	4130
CRC	AC097376.3	Gain	4130
CRC	SETD7	Gain	1579
CRC	MGST2	Gain	4130
CRC	MAML3	Gain	2530
CRC	ELMOD2	Gain	3182
CRC	TBC1D9	Gain	2187
CRC	RNF150	Gain	620
CRC	INPP4B	Gain	3525
CRC	USP38	Gain	3525
CRC	GAB1	Gain	3525
CRC	SMARCA5	Gain	3525
CRC	AC107223.1	Gain	1567
CRC	ANAPC10	Gain	3525
CRC	ABCE1	Gain	3525
CRC	OTUD4	Gain	3525
CRC	SMAD1	Gain	3509
CRC	ZNF827	Gain	3525
CRC	SLC10A7	Gain	3525
CRC	PRMT9	Gain	3525
CRC	ARHGAP10	Gain	3525
CRC	ARHGAP10	Loss	284
CRC	NR3C2	Gain	3525
CRC	NR3C2	Loss	284
CRC	LRBA	Gain	3525
CRC	LRBA	Loss	284
CRC	RPS3A	Gain	3525
CRC	RPS3A	Loss	284
CRC	SH3D19	Gain	3525
CRC	SH3D19	Loss	284
CRC	FAM160A1	Gain	3525
CRC	FAM160A1	Loss	284
CRC	FBXW7	Gain	3525
CRC	FBXW7	Loss	284
CRC	AC023424.3	Gain	2231
CRC	TMEM154	Gain	3525
CRC	TMEM154	Loss	284
CRC	ARFIP1	Gain	3525
CRC	ARFIP1	Loss	284
CRC	FHDC1	Gain	3509
CRC	TRIM2	Gain	3509
CRC	TRIM2	Loss	580
CRC	TMEM131L	Gain	3525
CRC	TMEM131L	Loss	580
CRC	TLR2	Gain	632
CRC	GUCY1A1	Gain	1220
CRC	PDGFC	Gain	2574
CRC	PDGFC	Loss	1078
CRC	AC093817.2	Gain	2382
CRC	AC093817.2	Loss	1078
CRC	AC084740.1	Gain	428
CRC	GASK1B	Gain	1439
CRC	FAM198B-AS1	Gain	1439
CRC	TMEM144	Gain	3006
CRC	TMEM144	Loss	1078
CRC	ETFDH	Gain	3349
CRC	ETFDH	Loss	1078
CRC	RAPGEF2	Gain	3349
CRC	RAPGEF2	Loss	1078
CRC	NAF1	Gain	3349
CRC	NAF1	Loss	1078
CRC	TMA16	Gain	3349
CRC	TMA16	Loss	1078
CRC	MARCH1	Gain	3349
CRC	MARCH1	Loss	1078
CRC	TMEM192	Gain	2717
CRC	TMEM192	Loss	1078
CRC	KLHL2	Gain	3349
CRC	KLHL2	Loss	1078
CRC	DDX60	Gain	1926
CRC	DDX60	Loss	1078
CRC	DDX60L	Gain	2921
CRC	DDX60L	Loss	1078
CRC	PALLD	Gain	2921
CRC	PALLD	Loss	1078
CRC	CBR4	Gain	2921
CRC	CBR4	Loss	1078
CRC	SH3RF1	Gain	2921
CRC	SH3RF1	Loss	1078
CRC	NEK1	Gain	2921
CRC	NEK1	Loss	1078
CRC	CLCN3	Gain	2921
CRC	CLCN3	Loss	1078
CRC	GALNT7	Gain	2921
CRC	GALNT7	Loss	1078
CRC	CEP44	Gain	2921
CRC	CEP44	Loss	1078
CRC	AC078881.1	Gain	1567
CRC	AC078881.1	Loss	1078
CRC	WWC2	Gain	1970
CRC	WWC2	Loss	1521
CRC	TRAPPC11	Gain	2921
CRC	TRAPPC11	Loss	1521
CRC	IRF2	Gain	2921
CRC	IRF2	Loss	1521
CRC	PRIMPOL	Gain	1583
CRC	PRIMPOL	Loss	1521
CRC	CFAP97	Gain	2921
CRC	CFAP97	Loss	1521
CRC	SNX25	Gain	2921
CRC	SNX25	Loss	1521
CRC	AC112722.1	Gain	1338
CRC	AC112722.1	Loss	443
CRC	UFSP2	Gain	1627
CRC	UFSP2	Loss	443
CRC	SORBS2	Gain	2921
CRC	SORBS2	Loss	1521
CRC	FRG1-DT	Gain	959
CRC	FRG1-DT	Loss	1078
CRC	CYFIP1	Gain	2165
CRC	CYFIP1	Loss	9742
CRC	TUBGCP5	Gain	2165
CRC	TUBGCP5	Loss	9742
CRC	SNHG14	Gain	2165
CRC	SNHG14	Loss	9742
CRC	UBE3A	Gain	2165
CRC	UBE3A	Loss	9742
CRC	HERC2	Gain	2165
CRC	HERC2	Loss	9742
CRC	FAN1	Gain	2165
CRC	FAN1	Loss	9742
CRC	MTMR10	Gain	2165
CRC	MTMR10	Loss	9742
CRC	OTUD7A	Loss	5180
CRC	LINC02256	Loss	1290
CRC	FMN1	Gain	2165
CRC	FMN1	Loss	9742
CRC	AVEN	Gain	2165
CRC	AVEN	Loss	9742
CRC	KATNBL1	Gain	2165
CRC	KATNBL1	Loss	9742
CRC	GOLGA8A	Gain	2165
CRC	GOLGA8A	Loss	9742
CRC	GOLGA8B	Gain	2165
CRC	GOLGA8B	Loss	9742
CRC	AQR	Gain	2165
CRC	AQR	Loss	9742
CRC	DPH6	Gain	2165
CRC	DPH6	Loss	9742
CRC	DPH6-DT	Gain	2165
CRC	DPH6-DT	Loss	5180
CRC	SPRED1	Gain	2165
CRC	SPRED1	Loss	9742
CRC	AC013652.1	Gain	2165
CRC	AC013652.1	Loss	5180
CRC	EIF2AK4	Gain	2165
CRC	EIF2AK4	Loss	9742
CRC	IVD	Gain	2687
CRC	IVD	Loss	9470
CRC	RAD51-AS1	Gain	3130
CRC	RAD51-AS1	Loss	5852
CRC	DNAJC17	Gain	3130
CRC	DNAJC17	Loss	8180
CRC	SPINT1	Gain	4037
CRC	SPINT1	Loss	8180
CRC	INO80	Gain	4037
CRC	INO80	Loss	9470
CRC	OIP5-AS1	Gain	4037
CRC	OIP5-AS1	Loss	9470
CRC	RTF1	Gain	4037
CRC	RTF1	Loss	9470
CRC	MGA	Gain	4037
CRC	MGA	Loss	9470
CRC	VPS39	Gain	4037
CRC	VPS39	Loss	9470
CRC	TMEM87A	Gain	4037
CRC	TMEM87A	Loss	9470
CRC	GANC	Gain	4037
CRC	GANC	Loss	9470
CRC	ZNF106	Gain	4037
CRC	ZNF106	Loss	9470
CRC	SNAP23	Gain	4037
CRC	SNAP23	Loss	9470
CRC	AC018362.1	Gain	4037
CRC	AC018362.1	Loss	4908
CRC	TTBK2	Gain	4037
CRC	TTBK2	Loss	7657
CRC	UBR1	Gain	4037
CRC	UBR1	Loss	7657
CRC	AC068724.3	Gain	4037
CRC	AC068724.3	Loss	3095
CRC	TMEM62	Gain	4037
CRC	TMEM62	Loss	7657
CRC	CCNDBP1	Gain	2784
CRC	TUBGCP4	Gain	4037
CRC	TUBGCP4	Loss	6367
CRC	TP53BP1	Gain	4037
CRC	TP53BP1	Loss	7657
CRC	PPIP5K1	Gain	4037
CRC	PPIP5K1	Loss	4562
CRC	CATSPER2	Gain	4037
CRC	CATSPER2	Loss	7657
CRC	PDIA3	Gain	4037
CRC	PDIA3	Loss	7657
CRC	SERF2	Gain	4037
CRC	SERF2	Loss	7657
CRC	CASC4	Gain	4037
CRC	CASC4	Loss	7657
CRC	CTDSPL2	Gain	4037
CRC	CTDSPL2	Loss	7657
CRC	EIF3J	Gain	4037
CRC	EIF3J	Loss	7657
CRC	SPG11	Gain	4037
CRC	SPG11	Loss	7657
CRC	B2M	Gain	3130
CRC	B2M	Loss	7657
CRC	SORD	Gain	3130
CRC	SORD	Loss	6367
CRC	GATM	Loss	163
CRC	AC025580.2	Gain	3130
CRC	AC025580.2	Loss	6015
CRC	BLOC1S6	Gain	3130
CRC	BLOC1S6	Loss	3554
CRC	SQOR	Gain	3130
CRC	SQOR	Loss	6311
CRC	MYEF2	Gain	346
CRC	MYEF2	Loss	4562
CRC	DUT	Gain	3130
CRC	DUT	Loss	7008
CRC	EID1	Gain	2356
CRC	SECISBP2L	Gain	2702
CRC	SECISBP2L	Loss	6777
CRC	COPS2	Gain	2702
CRC	COPS2	Loss	6777
CRC	GALK2	Gain	2702
CRC	GALK2	Loss	6777
CRC	FAM227B	Gain	2702
CRC	FAM227B	Loss	1290
CRC	DTWD1	Gain	2702
CRC	DTWD1	Loss	6777
CRC	ATP8B4	Gain	2356
CRC	ATP8B4	Loss	6777
CRC	GABPB1-AS1	Gain	2356
CRC	GABPB1-AS1	Loss	6984
CRC	USP8	Gain	2356
CRC	USP8	Loss	6984
CRC	TRPM7	Gain	2356
CRC	TRPM7	Loss	6984
CRC	SPPL2A	Gain	1913
CRC	SPPL2A	Loss	6984
CRC	AP4E1	Gain	1913
CRC	AP4E1	Loss	6984
CRC	DMXL2	Gain	395
CRC	DMXL2	Loss	7044
CRC	TMOD2	Loss	267
CRC	TMOD3	Gain	395
CRC	TMOD3	Loss	7044
CRC	LEO1	Gain	395
CRC	LEO1	Loss	267
CRC	MAPK6	Gain	395
CRC	MAPK6	Loss	7044
CRC	MYO5C	Gain	395
CRC	MYO5C	Loss	7044
CRC	MYO5A	Gain	395
CRC	MYO5A	Loss	7044
CRC	ARPP19	Gain	395
CRC	ARPP19	Loss	7044
CRC	FAM214A	Gain	395
CRC	FAM214A	Loss	7044
CRC	RAB27A	Gain	395
CRC	RAB27A	Loss	7044
CRC	PIGB	Gain	395
CRC	PIGB	Loss	6119
CRC	CCPG1	Gain	395
CRC	CCPG1	Loss	7044
CRC	DNAAF4	Gain	395
CRC	DNAAF4	Loss	267
CRC	NEDD4	Gain	395
CRC	NEDD4	Loss	7044
CRC	RFX7	Gain	395
CRC	RFX7	Loss	7044
CRC	TEX9	Gain	395
CRC	TEX9	Loss	7472
CRC	ZNF280D	Gain	395
CRC	ZNF280D	Loss	7472
CRC	AC090517.5	Gain	395
CRC	AC090517.5	Loss	7586
CRC	TCF12	Gain	395
CRC	TCF12	Loss	7586
CRC	CGNL1	Loss	6296
CRC	ADAM10	Loss	8029
CRC	MINDY2	Loss	8029
CRC	RNF111	Loss	8029
CRC	SLTM	Loss	8029
CRC	BNIP2	Loss	8029
CRC	ICE2	Loss	8029
CRC	RORA-AS1	Loss	3467
CRC	RORA	Loss	8029
CRC	AC009554.1	Loss	1557
CRC	VPS13C	Loss	7909
CRC	TLN2	Loss	7537
CRC	TPM1	Loss	7537
CRC	RPS27L	Loss	2743
CRC	APH1B	Loss	1463
CRC	USP3	Loss	6950
CRC	USP3-AS1	Loss	1463
CRC	HERC1	Loss	6950
CRC	DAPK2	Loss	6950
CRC	SNX1	Loss	6950
CRC	PPIB	Loss	1463
CRC	CSNK1G1	Loss	6950
CRC	TRIP4	Gain	346
CRC	TRIP4	Loss	6743
CRC	ZNF609	Gain	346
CRC	ZNF609	Loss	6290
CRC	MTFMT	Gain	346
CRC	MTFMT	Loss	6006
CRC	PDCD7	Gain	346
CRC	PDCD7	Loss	5433
CRC	CLPX	Gain	346
CRC	CLPX	Loss	5892
CRC	PARP16	Gain	346
CRC	PARP16	Loss	5892
CRC	DPP8	Gain	346
CRC	DPP8	Loss	5892
CRC	HACD3	Gain	346
CRC	HACD3	Loss	5892
CRC	DENND4A	Gain	346
CRC	DENND4A	Loss	5892
CRC	RAB11A	Gain	346
CRC	RAB11A	Loss	5729
CRC	DIS3L	Gain	346
CRC	DIS3L	Loss	5433
CRC	RPL4	Gain	3185
CRC	RPL4	Loss	5090
CRC	SMAD3	Gain	3185
CRC	SMAD3	Loss	5090
CRC	AAGAB	Gain	3185
CRC	AAGAB	Loss	5090
CRC	IQCH	Gain	3185
CRC	IQCH	Loss	5090
CRC	IQCH-AS1	Gain	3185
CRC	IQCH-AS1	Loss	5090
CRC	MAP2K5	Gain	3185
CRC	MAP2K5	Loss	5090
CRC	PIAS1	Gain	3185
CRC	PIAS1	Loss	5090
CRC	FEM1B	Gain	5003
CRC	FEM1B	Loss	871
CRC	ANP32A	Gain	5003
CRC	ANP32A	Loss	5090
CRC	GLCE	Gain	5003
CRC	GLCE	Loss	5090
CRC	RPLP1	Gain	5003
CRC	RPLP1	Loss	4385
CRC	TLE3	Gain	5003
CRC	TLE3	Loss	4385
CRC	THSD4	Gain	5003
CRC	THSD4	Loss	4385
CRC	MYO9A	Gain	6102
CRC	MYO9A	Loss	4385
CRC	PKM	Gain	6102
CRC	PKM	Loss	4385
CRC	PARP6	Gain	6102
CRC	PARP6	Loss	3514
CRC	HEXA	Gain	6102
CRC	HEXA	Loss	4385
CRC	ARIH1	Gain	6102
CRC	ARIH1	Loss	4385
CRC	BBS4	Gain	6102
CRC	BBS4	Loss	871
CRC	ADPGK	Gain	6102
CRC	ADPGK	Loss	4385
CRC	NEO1	Loss	4385
CRC	NPTN	Gain	6102
CRC	NPTN	Loss	4385
CRC	CLK3	Gain	6102
CRC	CLK3	Loss	871
CRC	SCAMP2	Gain	6102
CRC	SCAMP2	Loss	4385
CRC	SCAMP5	Gain	6102
CRC	SCAMP5	Loss	443
CRC	PPCDC	Gain	6102
CRC	PPCDC	Loss	3957
CRC	MAN2C1	Gain	6102
CRC	MAN2C1	Loss	3957
CRC	SIN3A	Gain	6102
CRC	SIN3A	Loss	3957
CRC	PTPN9	Gain	6102
CRC	PTPN9	Loss	3957
CRC	UBE2Q2	Gain	6102
CRC	UBE2Q2	Loss	3514
CRC	FBXO22	Gain	6102
CRC	FBXO22	Loss	3514
CRC	ETFA	Gain	6116
CRC	ETFA	Loss	3514
CRC	SCAPER	Gain	6116
CRC	SCAPER	Loss	3514
CRC	RCN2	Gain	6102
CRC	PEAK1	Gain	6116
CRC	PEAK1	Loss	3514
CRC	HMG20A	Gain	6116
CRC	HMG20A	Loss	3514
CRC	TBC1D2B	Gain	6116
CRC	TBC1D2B	Loss	3514
CRC	WDR61	Gain	6701
CRC	IREB2	Gain	6715
CRC	IREB2	Loss	3514
CRC	MORF4L1	Gain	6715
CRC	MORF4L1	Loss	3514
CRC	TMED3	Gain	6715
CRC	TMED3	Loss	3514
CRC	MTHFS	Gain	6715
CRC	MTHFS	Loss	3514
CRC	AC015871.1	Gain	6701
CRC	ZFAND6	Gain	6715
CRC	ZFAND6	Loss	3514
CRC	ABHD17C	Gain	6701
CRC	ABHD17C	Loss	3514
CRC	CEMIP	Gain	6701
CRC	CEMIP	Loss	3514
CRC	MESD	Gain	6715
CRC	MESD	Loss	3514
CRC	EFL1	Gain	6715
CRC	EFL1	Loss	3514
CRC	RPS17	Gain	6715
CRC	RPS17	Loss	3514
CRC	BTBD1	Gain	6715
CRC	BTBD1	Loss	3514
CRC	HDGFL3	Gain	14
CRC	WDR73	Gain	6701
CRC	WDR73	Loss	3514
CRC	SEC11A	Gain	6715
CRC	SEC11A	Loss	3514
CRC	ZNF592	Gain	6715
CRC	ZNF592	Loss	3514
CRC	PDE8A	Gain	5804
CRC	PDE8A	Loss	3514
CRC	AKAP13	Gain	5804
CRC	AKAP13	Loss	3514
CRC	ABHD2	Gain	6233
CRC	ABHD2	Loss	3514
CRC	AP3S2	Gain	6233
CRC	AP3S2	Loss	3514
CRC	ZNF710	Gain	6233
CRC	ZNF710	Loss	3514
CRC	IDH2	Gain	6233
CRC	IDH2	Loss	3957
CRC	SEMA4B	Gain	6233
CRC	SEMA4B	Loss	4644
CRC	IQGAP1	Gain	6233
CRC	IQGAP1	Loss	4644
CRC	CRTC3	Gain	6233
CRC	CRTC3	Loss	4644
CRC	AC104035.1	Gain	5804
CRC	FAM174B	Gain	6233
CRC	FAM174B	Loss	5186
CRC	LINC01578	Gain	6233
CRC	LINC01578	Loss	5186
CRC	CHD2	Gain	6233
CRC	CHD2	Loss	5186
CRC	NR2F2-AS1	Gain	5804
CRC	NR2F2-AS1	Loss	5186
CRC	NR2F2	Gain	5790
CRC	NR2F2	Loss	1672
CRC	IGF1R	Gain	6233
CRC	IGF1R	Loss	5186
CRC	LRRC28	Gain	6233
CRC	LRRC28	Loss	5186
CRC	MEF2A	Gain	6233
CRC	MEF2A	Loss	5186
CRC	SNRPA1	Gain	6233
CRC	SNRPA1	Loss	5186
CRC	PCSK6	Gain	6233
CRC	PCSK6	Loss	5186
CRC	TARSL2	Gain	6233
CRC	TARSL2	Loss	5186
CRC	SH3YL1	Gain	15021
CRC	EIPR1	Gain	15021
CRC	TRAPPC12	Gain	15021
CRC	RPS7	Gain	15021
CRC	RNF144A	Gain	12221
CRC	LINC00299	Gain	15021
CRC	LINC01814	Gain	14381
CRC	ID2	Gain	15021
CRC	KIDINS220	Gain	15021
CRC	MBOAT2	Gain	14964
CRC	ASAP2	Gain	15021
CRC	ITGB1BP1	Gain	14980
CRC	CPSF3	Gain	14964
CRC	IAH1	Gain	11202
CRC	ADAM17	Gain	15021
CRC	YWHAQ	Gain	15021
CRC	TAF1B	Gain	15021
CRC	NOL10	Gain	15021
CRC	NBAS	Gain	14038
CRC	DDX1	Gain	14038
CRC	SMC6	Gain	13601
CRC	LINC01376	Gain	12946
CRC	ATAD2B	Gain	11383
CRC	FAM228B	Gain	11383
CRC	ITSN2	Gain	11176
CRC	ASXL2	Gain	10124
CRC	RAB10	Gain	10124
CRC	SELENOI	Gain	9213
CRC	ZNF512	Gain	7393
CRC	BABAM2	Gain	6439
CRC	PPP1CB	Gain	6439
CRC	WDR43	Gain	5734
CRC	LCLAT1	Gain	5734
CRC	CAPN13	Gain	381
CRC	YIPF4	Gain	5734
CRC	BIRC6	Gain	5734
CRC	TTC27	Gain	5734
CRC	LINC00486	Gain	4814
CRC	CRIM1	Gain	5734
CRC	FEZ2	Gain	5734
CRC	STRN	Gain	5734
CRC	HEATR5B	Gain	5734
CRC	EIF2AK2	Gain	5734
CRC	ATL2	Gain	5734
CRC	SRSF7	Gain	5734
CRC	SOS1	Gain	5734
CRC	MAP4K3	Gain	5734
CRC	MAP4K3-DT	Gain	5734
CRC	THUMPD2	Gain	5734
CRC	SLC8A1	Gain	5734
CRC	EML4	Gain	5734
CRC	MTA3	Gain	5734
CRC	ZFP36L2	Gain	6645
CRC	THADA	Gain	6645
CRC	DYNC2LI1	Gain	6588
CRC	LRPPRC	Gain	6645
CRC	PPM1B	Gain	6645
CRC	PREPL	Gain	6645
CRC	CAMKMT	Gain	6988
CRC	SRBD1	Gain	7942
CRC	PRKCE	Gain	7942
CRC	CALM2	Gain	8647
CRC	EPCAM-DT	Gain	8590
CRC	EPCAM	Gain	8590
CRC	FBXO11	Gain	8647
CRC	PPP1R21	Gain	8647
CRC	ASB3	Gain	8647
CRC	ERLEC1	Gain	8647
CRC	PSME4	Gain	8647
CRC	ACYP2	Gain	8647
CRC	SPTBN1	Gain	8647
CRC	RTN4	Gain	8219
CRC	CLHC1	Gain	8178
CRC	RPS27A	Gain	8219
CRC	AC012358.3	Gain	4679
CRC	CCDC88A	Gain	8219
CRC	CFAP36	Gain	8162
CRC	PPP4R3B	Gain	8219
CRC	PNPT1	Gain	8219
CRC	VRK2	Gain	8219
CRC	FANCL	Gain	8219
CRC	REL	Gain	8219
CRC	REL	Loss	199
CRC	PUS10	Gain	8219
CRC	PUS10	Loss	199
CRC	PEX13	Gain	8219
CRC	PEX13	Loss	199
CRC	KIAA1841	Gain	8178
CRC	KIAA1841	Loss	199
CRC	USP34	Gain	8219
CRC	USP34	Loss	199
CRC	XPO1	Gain	8219
CRC	XPO1	Loss	199
CRC	CCT4	Gain	8219
CRC	CCT4	Loss	199
CRC	COMMD1	Gain	8219
CRC	COMMD1	Loss	199
CRC	EHBP1	Gain	8219
CRC	EHBP1	Loss	199
CRC	WDPCP	Gain	8219
CRC	WDPCP	Loss	199
CRC	MDH1	Gain	5060
CRC	MDH1	Loss	199
CRC	UGP2	Gain	8219
CRC	UGP2	Loss	199
CRC	VPS54	Gain	8219
CRC	VPS54	Loss	199
CRC	AFTPH	Gain	8219
CRC	AFTPH	Loss	199
CRC	RAB1A	Gain	8219
CRC	RAB1A	Loss	199
CRC	ACTR2	Gain	8219
CRC	ACTR2	Loss	199
CRC	SPRED2	Gain	8219
CRC	SPRED2	Loss	199
CRC	ETAA1	Gain	7579
CRC	ETAA1	Loss	199
CRC	PPP3R1	Gain	8219
CRC	PPP3R1	Loss	199
CRC	GFPT1	Gain	8203
CRC	GFPT1	Loss	199
CRC	NFU1	Gain	7841
CRC	NFU1	Loss	199
CRC	AAK1	Gain	8220
CRC	AAK1	Loss	199
CRC	ANXA4	Gain	8220
CRC	ANXA4	Loss	199
CRC	GMCL1	Gain	8220
CRC	PCBP1-AS1	Gain	8220
CRC	TIA1	Gain	8220
CRC	MCEE	Gain	5118
CRC	MPHOSPH10	Gain	9639
CRC	ZNF638	Gain	9680
CRC	EXOC6B	Gain	10587
CRC	SFXN5	Gain	10587
CRC	CCT7	Gain	9642
CRC	ALMS1	Gain	10794
CRC	STAMBP	Gain	11197
CRC	DGUOK	Gain	11156
CRC	TET3	Gain	11197
CRC	MOB1A	Gain	11197
CRC	SLC4A5	Gain	17
CRC	DCTN1	Gain	5287
CRC	MOGS	Gain	11156
CRC	HK2	Gain	5570
CRC	TACR1	Gain	267
CRC	MRPL19	Gain	11156
CRC	GCFC2	Gain	11197
CRC	SUCLG1	Gain	11156
CRC	DNAH6	Gain	11156
CRC	TMSB10	Gain	11197
CRC	KCMF1	Gain	11197
CRC	TGOLN2	Gain	11197
CRC	ELMOD3	Gain	11197
CRC	MAT2A	Gain	11197
CRC	GGCX	Gain	5270
CRC	C2orf68	Gain	10434
CRC	ST3GAL5	Gain	6194
CRC	POLR1A	Gain	11338
CRC	PTCD3	Gain	11007
CRC	IMMT	Gain	10664
CRC	REEP1	Gain	182
CRC	KDM3A	Gain	10664
CRC	CHMP3	Gain	10616
CRC	RNF103	Gain	10842
CRC	RMND5A	Gain	11179
CRC	CYTOR	Gain	10972
CRC	KRCC1	Gain	10651
CRC	KRCC1	Loss	687
CRC	THNSL2	Loss	687
CRC	EIF2AK3	Gain	10651
CRC	EIF2AK3	Loss	687
CRC	IGKC	Gain	10744
CRC	MRPS5	Gain	10744
CRC	MRPS5	Loss	687
CRC	ZNF514	Gain	10703
CRC	ZNF514	Loss	687
CRC	LINC00342	Gain	10744
CRC	LINC00342	Loss	687
CRC	ANKRD36C	Gain	10744
CRC	ANKRD36C	Loss	687
CRC	STARD7	Gain	10744
CRC	STARD7	Loss	687
CRC	CIAO1	Gain	10744
CRC	CIAO1	Loss	1095
CRC	SNRNP200	Gain	10744
CRC	SNRNP200	Loss	1095
CRC	KANSL3	Gain	9644
CRC	KANSL3	Loss	1095
CRC	LMAN2L	Gain	9603
CRC	LMAN2L	Loss	863
CRC	CNNM4	Gain	9603
CRC	CNNM4	Loss	1095
CRC	ANKRD23	Gain	8525
CRC	ANKRD23	Loss	1095
CRC	ANKRD36	Gain	9644
CRC	ANKRD36	Loss	1095
CRC	ANKRD36B	Gain	9644
CRC	ANKRD36B	Loss	1095
CRC	COX5B	Gain	5003
CRC	COX5B	Loss	1095
CRC	TMEM131	Gain	7376
CRC	TMEM131	Loss	1095
CRC	INPP4A	Gain	7376
CRC	INPP4A	Loss	1095
CRC	MGAT4A	Gain	6469
CRC	MGAT4A	Loss	1095
CRC	KIAA1211L	Gain	6428
CRC	KIAA1211L	Loss	1095
CRC	TSGA10	Gain	6469
CRC	TSGA10	Loss	1095
CRC	MITD1	Gain	6469
CRC	MITD1	Loss	1095
CRC	EIF5B	Gain	6469
CRC	EIF5B	Loss	1095
CRC	REV1	Gain	6469
CRC	REV1	Loss	408
CRC	AFF3	Gain	6469
CRC	AFF3	Loss	232
CRC	RPL31	Gain	6469
CRC	RPL31	Loss	408
CRC	TBC1D8	Gain	6469
CRC	TBC1D8	Loss	680
CRC	RNF149	Gain	5108
CRC	RNF149	Loss	680
CRC	MAP4K4	Gain	5108
CRC	MAP4K4	Loss	680
CRC	MRPS9	Gain	2170
CRC	MRPS9	Loss	680
CRC	TGFBRAP1	Gain	2450
CRC	TGFBRAP1	Loss	680
CRC	C2orf49	Gain	1745
CRC	C2orf49	Loss	680
CRC	GCC2	Gain	2540
CRC	GCC2	Loss	504
CRC	LIMS1	Gain	2540
CRC	LIMS1	Loss	504
CRC	RANBP2	Gain	2540
CRC	RANBP2	Loss	504
CRC	SEPTIN10	Gain	2912
CRC	SEPTIN10	Loss	272
CRC	MIR4435-2HG	Gain	2912
CRC	MIR4435-2HG	Loss	272
CRC	BCL2L11	Gain	2912
CRC	BCL2L11	Loss	272
CRC	ANAPC1	Gain	3599
CRC	ANAPC1	Loss	272
CRC	MERTK	Gain	3322
CRC	MERTK	Loss	272
CRC	TMEM87B	Gain	4027
CRC	TMEM87B	Loss	272
CRC	ZC3H8	Gain	4027
CRC	ZC3H8	Loss	272
CRC	ZC3H6	Gain	4027
CRC	ZC3H6	Loss	272
CRC	PSD4	Gain	3529
CRC	PSD4	Loss	272
CRC	CBWD2	Gain	3529
CRC	CBWD2	Loss	272
CRC	SLC35F5	Gain	3529
CRC	SLC35F5	Loss	272
CRC	ACTR3	Gain	3529
CRC	ACTR3	Loss	272
CRC	DDX18	Gain	3529
CRC	DDX18	Loss	272
CRC	CCDC93	Gain	3529
CRC	CCDC93	Loss	272
CRC	PTPN4	Gain	3529
CRC	PTPN4	Loss	272
CRC	EPB41L5	Gain	3529
CRC	EPB41L5	Loss	274
CRC	CLASP1	Gain	3529
CRC	CLASP1	Loss	274
CRC	NIFK-AS1	Gain	3167
CRC	NIFK-AS1	Loss	274
CRC	AC011246.1	Gain	2089
CRC	AC011246.1	Loss	2
CRC	ERCC3	Gain	3233
CRC	ERCC3	Loss	274
CRC	AC068282.1	Gain	2451
CRC	AC068282.1	Loss	274
CRC	MAP3K2	Gain	3233
CRC	MAP3K2	Loss	274
CRC	IWS1	Gain	3233
CRC	IWS1	Loss	274
