Cancer	Gene	cnv	N.cells.with.cnv
BRCA	SPTBN4	Gain	3595
BRCA	LTBP4	Gain	3595
BRCA	HNRNPUL1	Gain	14140
BRCA	HNRNPUL1	Loss	1023
BRCA	TMEM91	Gain	10822
BRCA	TMEM91	Loss	1023
BRCA	RPS19	Gain	14291
BRCA	RPS19	Loss	1023
BRCA	ARHGEF1	Gain	9847
BRCA	TMEM145	Gain	1369
BRCA	LIPE-AS1	Gain	13953
BRCA	LIPE-AS1	Loss	1023
BRCA	AC004784.1	Gain	4930
BRCA	PHLDB3	Gain	10836
BRCA	ZNF283	Gain	4194
BRCA	ZNF283	Loss	1023
BRCA	ZNF155	Gain	2937
BRCA	ZNF155	Loss	1023
BRCA	ZNF224	Gain	5224
BRCA	ZNF224	Loss	1023
BRCA	ZNF226	Gain	3794
BRCA	ZNF226	Loss	1023
BRCA	ZNF227	Gain	2937
BRCA	ZNF227	Loss	1023
BRCA	ZNF235	Gain	12811
BRCA	ZNF235	Loss	1023
BRCA	BCAM	Gain	5787
BRCA	NECTIN2	Gain	8392
BRCA	NECTIN2	Loss	1023
BRCA	CLASRP	Gain	8392
BRCA	CLASRP	Loss	1023
BRCA	GEMIN7-AS1	Gain	3684
BRCA	MARK4	Gain	8776
BRCA	MARK4	Loss	1023
BRCA	RTN2	Gain	1369
BRCA	EML2	Gain	8219
BRCA	EML2	Loss	1023
BRCA	GIPR	Gain	1369
BRCA	SYMPK	Gain	9404
BRCA	SYMPK	Loss	1023
BRCA	PRKD2	Gain	9042
BRCA	PRKD2	Loss	1023
BRCA	ARHGAP35	Gain	14213
BRCA	ARHGAP35	Loss	1023
BRCA	NAPA	Gain	7827
BRCA	NOP53	Gain	7538
BRCA	NOP53	Loss	1023
BRCA	SELENOW	Gain	10016
BRCA	SELENOW	Loss	1023
BRCA	PLA2G4C	Gain	1953
BRCA	PLA2G4C	Loss	1023
BRCA	CARD8	Gain	10187
BRCA	CARD8	Loss	1661
BRCA	CYTH2	Gain	4812
BRCA	CYTH2	Loss	1661
BRCA	RPL18	Gain	14187
BRCA	RPL18	Loss	1661
BRCA	BCAT2	Gain	2152
BRCA	NUCB1	Gain	3512
BRCA	NUCB1	Loss	1661
BRCA	FTL	Gain	9392
BRCA	FTL	Loss	1661
BRCA	SNRNP70	Gain	14358
BRCA	SNRNP70	Loss	1661
BRCA	PPFIA3	Gain	1369
BRCA	TRPM4	Gain	7946
BRCA	RPL13A	Gain	14358
BRCA	RPL13A	Loss	1661
BRCA	RPS11	Gain	14358
BRCA	RPS11	Loss	1661
BRCA	PRR12	Gain	8662
BRCA	PRR12	Loss	1661
BRCA	IRF3	Gain	7289
BRCA	IRF3	Loss	638
BRCA	PTOV1	Gain	9698
BRCA	PTOV1	Loss	1661
BRCA	PNKP	Gain	10513
BRCA	PNKP	Loss	1661
BRCA	MYH14	Gain	12896
BRCA	MYH14	Loss	1661
BRCA	ZNF577	Gain	5784
BRCA	ZNF577	Loss	1661
BRCA	PPP2R1A	Gain	4102
BRCA	PPP2R1A	Loss	1661
BRCA	ZNF528-AS1	Gain	3557
BRCA	ZNF528	Gain	3557
BRCA	ZNF701	Gain	4917
BRCA	ZNF701	Loss	1661
BRCA	ZNF83	Gain	14710
BRCA	ZNF83	Loss	1661
BRCA	ZNF611	Gain	14710
BRCA	ZNF611	Loss	1661
BRCA	TMC4	Gain	9698
BRCA	TMC4	Loss	1661
BRCA	MBOAT7	Gain	9140
BRCA	MBOAT7	Loss	638
BRCA	RPS9	Gain	14710
BRCA	RPS9	Loss	1661
BRCA	LENG8	Gain	11149
BRCA	LENG8	Loss	1661
BRCA	RDH13	Gain	7946
BRCA	RDH13	Loss	638
BRCA	TMEM238	Gain	4187
BRCA	RPL28	Gain	14710
BRCA	RPL28	Loss	1023
BRCA	ZSCAN5A	Gain	6308
BRCA	ZSCAN5A	Loss	1023
BRCA	ZNF264	Gain	4917
BRCA	ZNF264	Loss	1023
BRCA	AC005261.1	Gain	2697
BRCA	AC005261.1	Loss	1023
BRCA	ZNF586	Gain	14710
BRCA	ZNF586	Loss	1023
BRCA	ZNF552	Gain	9285
BRCA	ZNF587B	Gain	10552
BRCA	ZNF587B	Loss	1023
BRCA	ZNF814	Gain	9698
BRCA	ZNF814	Loss	1023
BRCA	ZNF587	Gain	9869
BRCA	ZNF587	Loss	1023
BRCA	ZNF274	Gain	4075
BRCA	ZNF274	Loss	1023
BRCA	ZNF544	Gain	14710
BRCA	ZNF544	Loss	1023
BRCA	ERVK3-1	Gain	5592
BRCA	RPS5	Gain	9573
BRCA	RPS5	Loss	1023
BRCA	MZF1	Gain	8623
BRCA	MZF1	Loss	1023
BRCA	ZMYND11	Gain	8425
BRCA	ZMYND11	Loss	189
BRCA	DIP2C	Gain	8425
BRCA	DIP2C	Loss	189
BRCA	LARP4B	Gain	8425
BRCA	LARP4B	Loss	189
BRCA	WDR37	Gain	8425
BRCA	WDR37	Loss	189
BRCA	KLF6	Gain	8425
BRCA	KLF6	Loss	682
BRCA	TASOR2	Gain	8425
BRCA	TASOR2	Loss	682
BRCA	GDI2	Gain	8425
BRCA	GDI2	Loss	1547
BRCA	FBH1	Gain	8425
BRCA	FBH1	Loss	1547
BRCA	RBM17	Gain	8425
BRCA	RBM17	Loss	1547
BRCA	SFMBT2	Gain	8425
BRCA	SFMBT2	Loss	1547
BRCA	KIN	Gain	8425
BRCA	KIN	Loss	1547
BRCA	ATP5F1C	Gain	8425
BRCA	ATP5F1C	Loss	1547
BRCA	TAF3	Gain	8425
BRCA	TAF3	Loss	1998
BRCA	GATA3	Gain	7402
BRCA	GATA3	Loss	1547
BRCA	GATA3-AS1	Loss	1547
BRCA	AC044784.1	Loss	1547
BRCA	CELF2	Gain	8425
